"Entidad","Nit Entidad","Departamento Entidad","Ciudad Entidad","OrdenEntidad","Entidad Centralizada","ID del Proceso","Referencia del Proceso","PCI","ID del Portafolio","Nombre del Procedimiento","Descripción del Procedimiento","Fase","Fecha de Publicacion del Proceso","Fecha de Ultima Publicación","Fecha de Publicacion (Fase Planeacion Precalificacion)","Fecha de Publicacion (Fase Seleccion Precalificacion)","Fecha de Publicacion (Manifestacion de Interes)","Fecha de Publicacion (Fase Borrador)","Fecha de Publicacion (Fase Seleccion)","Precio Base","Modalidad de Contratacion","Justificación Modalidad de Contratación","Duracion","Unidad de Duracion","Fecha de Recepcion de Respuestas","Fecha de Apertura de Respuesta","Fecha de Apertura Efectiva","Ciudad de la Unidad de Contratación","Nombre de la Unidad de Contratación","Proveedores Invitados","Proveedores con Invitacion Directa","Visualizaciones del Procedimiento","Proveedores que Manifestaron Interes","Respuestas al Procedimiento","Respuestas Externas","Conteo de Respuestas a Ofertas","Proveedores Unicos con Respuestas","Numero de Lotes","Estado del Procedimiento","ID Estado del Procedimiento","Adjudicado","ID Adjudicacion","CodigoProveedor","Departamento Proveedor","Ciudad Proveedor","Fecha Adjudicacion","Valor Total Adjudicacion","Nombre del Adjudicador","Nombre del Proveedor Adjudicado","NIT del Proveedor Adjudicado","Codigo Principal de Categoria","Estado de Apertura del Proceso","Tipo de Contrato","Subtipo de Contrato","Categorias Adicionales","URLProceso","Codigo Entidad","Estado Resumen"
"DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADISTICA (DANE)","899999027","Distrito Capital de Bogotá","Bogotá","Nacional","Centralizada","CO1.REQ.2577563","EDP-545-2022","700474109","CO1.BDOS.2503732","TS_MERCADO_2022_GEIH_TH Prestación de servicios profesionales para procesar la información de la GEIH para el análisis de resultados y generación de nuevos indicadores de migración laboral y series de","TS_MERCADO_2022_GEIH_TH Prestación de servicios profesionales para procesar la información de la GEIH para el análisis de resultados y generación de nuevos indicadores de migración laboral y series de mercado laboral desestacionalizadas.","Presentación de oferta","01/18/2022","01/18/2022",,,,,"01/18/2022","$57.333.333","Contratación directa","Servicios profesionales y apoyo a la gestión","344","día(s)",,,,"Bogotá","SECRETARIA GENERAL - DANE CENTRAL","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111500","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2597221","700.474.109","Presentación de oferta"
"DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA","890102018","Atlántico","Barranquilla","Territorial","Centralizada","CO1.REQ.2085169","CD-55-2021-3516","702442096","CO1.BDOS.2027130","PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN A LA SECRETARÍA DISTRITAL DE DESARROLLO ECONÓMICO PARA EL DESARROLLO DE ESTRATEGIAS DE PROMOCION; ATRACCIÓN DE  INVERSIONES PRIVADAS (NACIONAL Y EXTRANJER","PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN A LA SECRETARÍA DISTRITAL DE DESARROLLO ECONÓMICO PARA EL DESARROLLO DE ESTRATEGIAS DE PROMOCION, ATRACCIÓN DE  INVERSIONES PRIVADAS (NACIONAL Y EXTRANJERA) Y POSICIONAMIENTO DEL DISTRITO DE BARRANQUILLA COMO DESTINO IDÓNEO DE TRANSFORMACIÓN INTEGRAL.","Presentación de oferta","06/11/2021","06/11/2021",,,,,"06/11/2021","$2.917.200.000","Contratación directa","Servicios profesionales y apoyo a la gestión","0","día(s)",,,,"No Aplica","Contratación Directa","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2028877","702.442.096","Presentación de oferta"
"COLEGIO GABRIEL BETANCOURT MEJIA I.E.D","900143276","Distrito Capital de Bogotá","No Definido","Territorial","Centralizada","CO1.REQ.7128715","RE-CGBM-049-2024","703916536","CO1.BDOS.6995772","SUMINISTRO ELECTROBOMBAS","COMPRA ELECTROBOMBAS DE SUPERFICIE CENTRIFUGA MODELO PEARL C2P 55H36S , CON POTENCIA  DE 5,5 HP, 220/440V Y TRIFASICAS SEDE A COLEGIO GABRIEL BETANCOURT MEJIA IED","Presentación de oferta","11/06/2024","11/06/2024",,,,,"11/06/2024","$5.500.000","Contratación régimen especial (con ofertas)","Regla aplicable","5","día(s)","11/12/2024","11/13/2024",,"Bogotá","PAGADURIA","0","0","9","0","0","0","0","0","0","Evaluación","60","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.40151500","Cerrado","Otro","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7008964","703.916.536","Presentación de oferta"
"INVIAS","800215807","Distrito Capital de Bogotá","Bogotá","Nacional","Centralizada","CO1.REQ.9845111","CD-CPS-0720-2026","700676059","CO1.BDOS.9677536","CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES","PRESTAR SERVICIOS PROFESIONALES PARA ACOMPAÑAR LA GESTIÓN CONTABLE Y FINANCIERA DE LOS PROGRAMAS, CONTRATOS Y/O CONVENIOS DEL INVIAS EN LA SUBDIRECCIÓN DE VÍAS REGIONALES EN EL MARCO DEL PROGRAMA CAMINOS COMUNITARIOS DE LA PAZ TOTAL","Presentación de oferta","01/22/2026","01/22/2026",,,,,"01/22/2026","$48.620.250","Contratación directa","Servicios profesionales y apoyo a la gestión","210","día(s)",,,,"Bogotá","Subdirección de Vías Regionales","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9690232","700.676.059","Presentación de oferta"
"MUNICIPIO DE SAN MIGUEL PUTUMAYO","800252922","Putumayo","San Miguel","Territorial","Descentralizada","CO1.REQ.8273274","PS-147-2025","712452853","CO1.BDOS.8128286","PRESTACION DE SERVICIOS PROFESIONALES PARA LA EJECUCION; GESTION Y SEGUIMIENTO DE PROGRAMAS Y PROYECTOS ENFOCADOS EN LA ATENCION DE LA POBLACION CON DISCAPACIDAD DEL MUNCIPIO DE SAN MIGUEL PUTUMAYO","PRESTACION DE SERVICIOS PROFESIONALES PARA LA EJECUCION, GESTION Y SEGUIMIENTO DE PROGRAMAS Y PROYECTOS ENFOCADOS EN LA ATENCION DE LA POBLACION CON DISCAPACIDAD DEL MUNCIPIO DE SAN MIGUEL PUTUMAYO","Presentación de oferta","05/16/2025","05/16/2025",,,,,"05/16/2025","$10.000.000","Contratación directa","Servicios profesionales y apoyo a la gestión","104","día(s)",,,,"No Aplica","ALCALDÍA SAN MIGUEL","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8148159","712.452.853","Presentación de oferta"
"MUNICIPIO DE PIEDECUESTA","890205383","Santander","Piedecuesta","Territorial","Centralizada","CO1.REQ.4098730","SINF-CPS-050-23","702166190","CO1.BDOS.4003113","BISMARCK ANDRES RODRIGUEZ FORERO","PRESTAR SERVICIOS PROFESIONALES COMO INGENIERO CIVIL ESPECIALIZADO PARA APOYAR LA FORMULACIÓN, DISEÑO Y SEGUIMIENTO A LOS PROYECTOS DE LA SECRETARIA DE INFRAESTRUCTURA, EN EL MARCO DEL PROYECTO DENOMINADO FORTALECIMIENTO DE LOS PROCESOS ADMINISTRATIVOS Y ACTIVIDADES DE GESTIÓN DE LA SECRETARIA DE INFRAESTRUCTURA DEL MUNICIPIO DE PIEDECUESTA.","Presentación de oferta","02/14/2023","02/14/2023",,,,,"02/14/2023","$12.000.000","Contratación directa","Servicios profesionales y apoyo a la gestión","3","Mes(es)",,,,"Piedecuesta","Unidad de Contratación Secretaria de Infraestructura","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4004222","702.166.190","Presentación de oferta"
"LA CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - AGROSAVIA","800194600","Cundinamarca","Mosquera","Nacional","Centralizada","CO1.REQ.6622657","135116","718046428","CO1.BDOS.6496979","CATALOGO DE EPPS CI  OBONUCO - EXPERIENCIAS JM","No definido","Presentación de oferta","08/06/2024","08/06/2024",,,,,"08/06/2024","$0","Contratación régimen especial","Regla aplicable","6","Mes(es)",,,,"Pasto","ADQUISICIONES OBONUCO","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.46181500","Abierto","Suministros","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6507167","718.046.428","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO BELLOSALUD","800174995","Antioquia","Bello","Territorial","Centralizada","CO1.REQ.9182530","OC10-2494-2025 DAVILA PROYECCION","705410264","CO1.BDOS.9018383","MANTENIMIENTO HOSPITALARIO","MANTENIMIENTO HOSPITALARIO","Presentación de oferta","10/31/2025","10/31/2025",,,,,"10/31/2025","$4.260.200","Contratación régimen especial","Regla aplicable","30","día(s)",,,,"Bello","UC ESE BELLOSALUD","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.72102900","Abierto","Suministros","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9042868","705.410.264","Presentación de oferta"
"(Secretaría Distrital de Integración Social)","8999990619","Distrito Capital de Bogotá","No Definido","Territorial","Centralizada","CO1.REQ.5610848","SDIS-CPS-302405-2024","702271321","CO1.BDOS.5493980","CONTRATO DE PRESTACIÓN DE SERVICIOS PROFESIONALES","PRESTAR SERVICIOS PROFESIONALES A LA SUBDIRECCION DE CONTRATACION, EN 
LOS DIFERENTES TRAMITES CONTRACTUALES QUE LE SEAN ASIGNADOS.","Presentación de oferta","01/25/2024","01/25/2024",,,,,"01/24/2024","$53.579.880","Contratación directa","Servicios profesionales y apoyo a la gestión","9","Mes(es)",,,,"Bogotá","SUBDIRECCION DE CONTRATACION","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111500","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5507297","702.271.321","Presentación de oferta"
"ESAP TERRITORIAL BOYACA CASANARE","800117524","Boyacá","Tunja","Nacional","Descentralizada","CO1.REQ.1780926","009-2021","704405216","CO1.BDOS.1730570","HELDA YANNETH BERNAL RINCON","CONTRATO PRESTACIÓN SERVICIOS PROFESIONALES COORDINADOR CETAP SOGAMOSO","Fase de ofertas","02/02/2021","02/02/2021",,,,,"02/02/2021","$9.108.000","Contratación directa","Servicios profesionales y apoyo a la gestión","4","Mes(es)",,,,"Tunja","TERRITORIAL ESAP BOYACA CASANARE","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1727245","704.405.216","Fase de ofertas"
